Index,StartTimestamp,EndTimestamp,ResponseTime,Batch,BatchOutput,writePercentage,addOps,deleteOps,queryOps,batchSize,timeSleptAfterThisBatch
0,1715943849437,1715943849453,16,Q 6 6 & D 10 4 & Q 3 7 & Q 7 3 & Q 1 4 & A 1 4 & D 4 4 & Q 1 9 & Q 7 1 & Q 1 6 & D 8 3 & Q 4 5 & Q 6 4 & Q 6 5 & A 6 8 & Q 4 1 & Q 7 1 & A 4 10 & Q 4 8 & D 3 2 & Q 5 9 & D 6 10 & Q 2 4 & F,GSPRemoteObject.processBatch called,30.0,3,5,15,23,1000
1,1715943850488,1715943850491,3,D 4 4 & Q 1 6 & Q 1 5 & A 3 8 & Q 10 5 & Q 10 8 & Q 4 6 & Q 4 10 & Q 7 9 & Q 1 3 & D 4 2 & A 7 6 & D 7 5 & Q 2 2 & Q 7 6 & A 10 7 & F,GSPRemoteObject.processBatch called,30.0,3,3,10,16,1000
2,1715943851490,1715943851496,6,Q 3 4 & Q 3 3 & Q 9 3 & Q 9 6 & Q 8 4 & Q 8 2 & D 5 4 & Q 4 8 & Q 1 6 & D 6 2 & Q 1 2 & Q 2 5 & Q 1 1 & Q 1 1 & D 10 2 & D 5 2 & F,GSPRemoteObject.processBatch called,30.0,0,4,12,16,1000
3,1715943852493,1715943852503,10,A 7 2 & A 7 10 & Q 7 10 & A 10 5 & Q 7 6 & Q 2 9 & Q 7 9 & Q 10 10 & Q 4 5 & A 9 9 & Q 10 8 & D 2 5 & Q 1 4 & Q 9 5 & A 10 2 & Q 4 6 & Q 2 4 & Q 4 7 & Q 5 8 & A 8 9 & Q 7 10 & Q 1 4 & Q 7 7 & Q 1 9 & D 2 2 & F,GSPRemoteObject.processBatch called,30.0,6,2,17,25,1000
4,1715943853495,1715943853501,6,Q 6 4 & Q 10 10 & D 2 9 & A 1 7 & Q 8 6 & A 10 7 & Q 1 9 & Q 1 10 & Q 7 4 & Q 8 10 & Q 8 1 & Q 10 9 & D 1 1 & D 10 3 & A 8 4 & Q 2 4 & Q 10 5 & F,GSPRemoteObject.processBatch called,30.0,3,3,11,17,1000
5,1715943854496,1715943854504,8,Q 1 10 & A 4 7 & Q 6 9 & Q 5 4 & Q 6 4 & A 1 8 & A 5 10 & Q 9 10 & Q 7 3 & Q 4 2 & Q 7 7 & Q 4 2 & Q 10 5 & A 7 2 & Q 3 4 & Q 9 5 & Q 2 7 & Q 10 7 & A 8 3 & D 8 1 & F,GSPRemoteObject.processBatch called,30.0,5,1,14,20,1000
6,1715943855498,1715943855504,6,D 7 1 & Q 2 9 & Q 3 7 & D 5 6 & Q 3 3 & Q 6 3 & Q 3 6 & D 2 3 & Q 9 10 & Q 7 8 & Q 3 1 & Q 8 8 & Q 9 4 & Q 2 1 & Q 1 2 & Q 9 9 & F,GSPRemoteObject.processBatch called,30.0,0,3,13,16,1000
7,1715943856499,1715943856508,9,Q 9 8 & A 1 10 & Q 4 6 & Q 6 8 & Q 5 4 & Q 10 2 & A 7 10 & Q 2 5 & A 5 9 & Q 6 5 & Q 3 2 & D 3 1 & Q 1 9 & Q 8 5 & Q 9 6 & Q 8 10 & Q 9 8 & Q 5 10 & Q 5 8 & Q 7 7 & Q 1 6 & D 7 8 & Q 6 9 & Q 8 7 & Q 7 2 & Q 8 5 & A 4 2 & F,GSPRemoteObject.processBatch called,30.0,4,2,21,27,1000
8,1715943857501,1715943857508,7,Q 7 2 & D 1 1 & Q 6 5 & Q 10 4 & Q 5 2 & Q 6 2 & Q 6 9 & Q 6 2 & Q 1 8 & Q 9 3 & Q 5 3 & Q 7 6 & Q 6 4 & A 1 2 & A 5 1 & Q 5 8 & Q 6 9 & Q 4 7 & D 3 5 & Q 2 8 & A 10 2 & F,GSPRemoteObject.processBatch called,30.0,3,2,16,21,1000
9,1715943858502,1715943858505,3,Q 8 4 & Q 8 8 & A 5 3 & D 10 5 & Q 5 3 & Q 5 7 & Q 1 2 & Q 5 7 & Q 7 4 & Q 6 6 & Q 3 5 & Q 4 3 & Q 7 10 & Q 4 6 & Q 6 9 & Q 3 7 & D 4 10 & Q 2 4 & Q 4 6 & Q 9 3 & Q 8 8 & F,GSPRemoteObject.processBatch called,30.0,1,2,18,21,1000
