Index, StartTimestamp, EndTimestamp, ResponseTime, Batch, BatchOutput, writePercentage, addOps, deleteOps, queryOps, batchSize, timeSleptAfterThisBatch
0, 1715685056090, 1715685056092, 2, Q 32 2 & Q 95 94 & D 20 91 & Q 91 7 & A 86 31 & Q 83 82 & Q 75 49 & D 48 71 & Q 52 93 & D 82 13 & Q 34 10 & Q 68 11 & Q 62 83 & Q 74 92 & F, GSPRemoteObject.processBatch called, 33.93148779480948, 1, 3, 10, 14, 9951
1, 1715685066141, 1715685066141, 0, Q 94 23 & Q 60 81 & Q 63 13 & A 67 6 & Q 14 32 & Q 14 15 & A 52 94 & Q 25 19 & Q 2 76 & Q 95 72 & Q 50 34 & Q 36 74 & Q 62 70 & D 91 14 & Q 68 5 & Q 69 48 & Q 94 39 & D 83 23 & Q 15 52 & Q 62 58 & A 60 35 & Q 57 97 & F, GSPRemoteObject.processBatch called, 36.410535022701495, 3, 2, 17, 22, 7523
2, 1715685073669, 1715685073670, 1, Q 23 33 & Q 100 55 & A 48 67 & D 38 24 & Q 34 48 & Q 46 6 & Q 84 43 & Q 80 21 & Q 52 57 & Q 58 51 & Q 63 36 & Q 85 34 & Q 39 89 & Q 84 38 & Q 16 35 & D 29 94 & Q 27 44 & Q 20 92 & Q 11 87 & Q 77 59 & Q 6 38 & Q 42 7 & Q 36 74 & A 62 25 & Q 10 43 & Q 82 73 & D 97 90 & Q 61 90 & Q 51 24 & F, GSPRemoteObject.processBatch called, 36.739633427431, 2, 3, 24, 29, 9760
0, 1715686984736, 1715686984736, 0, Q 32 2 & Q 95 94 & D 20 91 & Q 91 7 & A 86 31 & Q 83 82 & Q 75 49 & D 48 71 & Q 52 93 & D 82 13 & Q 34 10 & Q 68 11 & Q 62 83 & Q 74 92 & Q 94 23 & Q 60 81 & Q 63 13 & A 67 6 & Q 14 32 & Q 14 15 & A 52 94 & F, GSPRemoteObject.processBatch called, 33.93148779480948, 3, 3, 15, 21, 8092
1, 1715686993037, 1715686993038, 1, Q 25 19 & Q 2 76 & Q 95 72 & Q 50 34 & Q 36 74 & Q 62 70 & D 91 14 & Q 68 5 & Q 69 48 & Q 94 39 & D 83 23 & Q 15 52 & Q 62 58 & A 60 35 & Q 57 97 & A 80 54 & Q 86 23 & D 53 100 & F, GSPRemoteObject.processBatch called, 36.410535022701495, 2, 3, 13, 18, 6553
2, 1715686999592, 1715686999593, 1, D 38 24 & Q 34 48 & Q 46 6 & Q 84 43 & Q 80 21 & Q 52 57 & Q 58 51 & Q 63 36 & Q 85 34 & Q 39 89 & Q 84 38 & Q 16 35 & D 29 94 & Q 27 44 & Q 20 92 & Q 11 87 & Q 77 59 & Q 6 38 & Q 42 7 & Q 36 74 & A 62 25 & Q 10 43 & Q 82 73 & F, GSPRemoteObject.processBatch called, 36.80190384198377, 1, 2, 20, 23, 8060
0, 1715687399690, 1715687399690, 0, Q 32 2 & Q 95 94 & D 20 91 & Q 91 7 & A 86 31 & Q 83 82 & Q 75 49 & D 48 71 & Q 52 93 & D 82 13 & Q 34 10 & Q 68 11 & Q 62 83 & Q 74 92 & Q 94 23 & Q 60 81 & Q 63 13 & A 67 6 & Q 14 32 & Q 14 15 & A 52 94 & F, GSPRemoteObject.processBatch called, 33.93148779480948, 3, 3, 15, 21, 8092
1, 1715687407939, 1715687407940, 1, Q 25 19 & Q 2 76 & Q 95 72 & Q 50 34 & Q 36 74 & Q 62 70 & D 91 14 & Q 68 5 & Q 69 48 & Q 94 39 & D 83 23 & Q 15 52 & Q 62 58 & A 60 35 & Q 57 97 & A 80 54 & Q 86 23 & D 53 100 & F, GSPRemoteObject.processBatch called, 36.410535022701495, 2, 3, 13, 18, 6553
2, 1715687414494, 1715687414495, 1, D 38 24 & Q 34 48 & Q 46 6 & Q 84 43 & Q 80 21 & Q 52 57 & Q 58 51 & Q 63 36 & Q 85 34 & Q 39 89 & Q 84 38 & Q 16 35 & D 29 94 & Q 27 44 & Q 20 92 & Q 11 87 & Q 77 59 & Q 6 38 & Q 42 7 & Q 36 74 & A 62 25 & Q 10 43 & Q 82 73 & F, GSPRemoteObject.processBatch called, 36.80190384198377, 1, 2, 20, 23, 8060
0, 1715687541254, 1715687541255, 1, Q 32 2 & Q 95 94 & D 20 91 & Q 91 7 & A 86 31 & Q 83 82 & Q 75 49 & D 48 71 & Q 52 93 & D 82 13 & Q 34 10 & Q 68 11 & Q 62 83 & Q 74 92 & Q 94 23 & Q 60 81 & Q 63 13 & A 67 6 & Q 14 32 & Q 14 15 & A 52 94 & F, GSPRemoteObject.processBatch called, 33.93148779480948, 3, 3, 15, 21, 8092
